year,month,state,production_tons,area_ha,yield_ton_ha,price_rural_ton,source
2014,,Jalisco,100250.33,10827.11,0.74941,1239867.99,siap_historico
2015,,Jalisco,119647.41,13062.65,0.84096,1496765.69,siap_historico
2016,,Jalisco,143504.62,13235.9,0.90775,1248374.75,siap_historico
2017,,Jalisco,169688.15,14675.41,1.0047000000000001,1670233.21,siap_historico
2018,,Jalisco,201804.37,18661.73,1.0113400000000001,1559706.76,siap_historico
2019,,Jalisco,231612.68,19556.9,1.04667,1891578.25,siap_historico
2020,,Jalisco,248192.73,20920.06,1.02269,1493647.57,siap_historico
2021,,Jalisco,256020.92,21413.56,1.03366,1817590.84,siap_historico
2022,,Jalisco,308813.21,27832.79,1.04686,2554049.96,siap_historico
2023,,Jalisco,323228.37,26890.64,1.12442,2221165.63,siap_historico
2024,,Jalisco,339015.85,28409.64,1.11862,2101738.74,siap_historico
